claim,label,matched
Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,NOT ENOUGH INFO,"['colin kaepernick', 'the national football league']"
Tilda Swinton is a vegan.,NOT ENOUGH INFO,['tilda swinton']
Fox 2000 Pictures released the film Soul Food.,SUPPORTS,"['soul food', 'fox']"
Anne Rice was born in New Jersey.,NOT ENOUGH INFO,['anne rice']
Telemundo is a English-language television network.,REFUTES,['telemundo']
Damon Albarn's debut album was released in 2011.,REFUTES,['damon albarn']
Andrew Kevin Walker is only Chinese.,REFUTES,['andrew kevin walker']
Murda Beatz's real name is Marshall Mathers.,REFUTES,['murda beatz']
Charles Manson has been proven innocent of all crimes.,REFUTES,['charles manson']
Don Bradman retired from soccer.,NOT ENOUGH INFO,['don bradman']
L.A. Reid has served as the CEO of Arista Records for four years.,NOT ENOUGH INFO,"['l.a. reid', 'arista records']"
Brad Wilk helped co-found Rage in 1962.,REFUTES,['brad wilk']
CBS is the network that aired The Millers.,SUPPORTS,['cbs']
Annette Badland was in the 2015 NBA Finals.,NOT ENOUGH INFO,"['nba', 'annette badland']"
Ann Richards was professionally involved in politics.,SUPPORTS,['ann richards']
Drake Bell put out an EP.,SUPPORTS,"['drake', 'drake bell']"
Janet Leigh was incapable of writing.,REFUTES,['janet leigh']
Simón Bolívar is only known as Simón Bolívar.,REFUTES,['simón bolívar']
Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,NOT ENOUGH INFO,['colin kaepernick']
"Harold Macmillan was born on February 20, 1894.",REFUTES,['harold macmillan']
David Packouz refused to be an entrepreneur.,REFUTES,['david packouz']
Magic Johnson did not play for the Lakers.,REFUTES,['magic johnson']
James VI and I was a major advocate of a single parliament for Scotland and England.,SUPPORTS,['james vi']
Marcus Bentley is a broadcaster.,SUPPORTS,['marcus bentley']
Mel B released a song on Virgin Records in 2007.,SUPPORTS,"['mel', 'mel b', 'virgin records']"
Noah Cyrus is a younger sister of Macy Grey.,REFUTES,['noah cyrus']
Jennifer Lopez made a single.,SUPPORTS,['jennifer lopez']
Magic Johnson was a tap dancer.,REFUTES,['magic johnson']
The Adventures of Pluto Nash was reviewed by Ron Underwood.,REFUTES,['ron underwood']
Brazzers is a company.,SUPPORTS,['brazzers']
Tim Roth is an English actor.,SUPPORTS,['tim roth']
Ernest Medina participated in the My Lai Massacre.,SUPPORTS,['ernest medina']
Viola Davis appeared in Kate & Leopold as Darth Maul.,NOT ENOUGH INFO,['viola davis']
Jenna Jameson worked as a glamor model and a stripper.,SUPPORTS,['jenna jameson']
Caroline Kennedy is a Catholic.,NOT ENOUGH INFO,['caroline kennedy']
Jack Falahee is a person who acts.,SUPPORTS,['jack falahee']
Steve Wozniak was born after the Apple II came out.,REFUTES,['steve wozniak']
A&E is a cable and satellite television network.,SUPPORTS,['a&e']
L.A. Reid has served as the president of a record label.,SUPPORTS,['l.a. reid']
Taran Killam is an American writer.,SUPPORTS,['taran killam']
Jayasudha is an actor that stars in Daag.,REFUTES,['jayasudha']
XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,NOT ENOUGH INFO,['xhamster']
"John Dolmayan was born on July 15, 1873.",REFUTES,['john dolmayan']
Island Records is a music school.,NOT ENOUGH INFO,['island records']
Sikkim is a part of the World Bank.,NOT ENOUGH INFO,['sikkim']
Christa McAuliffe taught social studies at Concord High School.,SUPPORTS,['christa mcauliffe']
Colin Kaepernick is a poker player.,REFUTES,['colin kaepernick']
Sheryl Lee has yet to appear in a film as of 2016.,REFUTES,['sheryl lee']
The highest point of the Hindu Kush is Everest.,REFUTES,['kush']
Weekly Idol is hosted by Yoo Jae Suk.,REFUTES,['idol']
Ashton Kutcher was directed by George Clooney.,NOT ENOUGH INFO,['ashton kutcher']
Wales' population changed.,SUPPORTS,['wales']
Youtube is not a website.,REFUTES,['youtube']
In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,SUPPORTS,['asylum records']
The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,SUPPORTS,['the armenian genocide']
There is a British actor name Marcus Bentley.,SUPPORTS,['marcus bentley']
The first inauguration of Bill Clinton made him the 50th President of the United States.,REFUTES,['bill clinton']
John Dolmayan was born in northern Lebanon.,NOT ENOUGH INFO,['john dolmayan']
"Bruce Shand was born on September 22nd, 1917.",REFUTES,['bruce shand']
Alexandra Daddario is Canadian.,REFUTES,['alexandra daddario']
Ralph Fults was born January 23 1911 and died in prison.,NOT ENOUGH INFO,['ralph fults']
Drake Bell put out an extended play in 2011.,SUPPORTS,"['drake', 'drake bell']"
The 14th Dalai Lama lives in Japan exclusively.,REFUTES,['dalai']
Telemundo is owned by ESPN.,REFUTES,['telemundo']
Caroline Kennedy is American.,SUPPORTS,['caroline kennedy']
Anne Rice was born in Fort Lauderdale.,REFUTES,['anne rice']
Stephen Hillenburg was fascinated with politics as a student.,REFUTES,['stephen hillenburg']
The Mod Squad is a series that fits into the genre of crime drama.,SUPPORTS,['the mod squad']
