claim,label,matched,llm_label,correct,llm_verifier_label,has_evidence
Elizabeth I was the first daughter of Henry VIII.,REFUTES,['henry viii'],REFUTES,True,REFUTES,True
Janet Leigh was Catholic.,NOT_ENOUGH_INFO,['janet leigh'],SUPPORTS,False,SUPPORTS,True
Manchester by the Sea is distributed globally.,REFUTES,['manchester'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Gal Gadot was ranked ahead of Shlomit Malka for Israel's highest earning actress/models.,SUPPORTS,['gal gadot'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Jenny McCarthy was Playmate of the Month.,NOT_ENOUGH_INFO,['jenny mccarthy'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Anne Boleyn is not mentioned in many artistic and cultural work.,REFUTES,['anne boleyn'],REFUTES,True,NOT_ENOUGH_INFO,True
Recovery is an Eminem song.,REFUTES,['eminem'],SUPPORTS,False,SUPPORTS,True
Omar Khadr was declared innocent.,NOT_ENOUGH_INFO,['omar khadr'],REFUTES,False,REFUTES,True
Despacito has a version which features a lengthier bridge.,NOT_ENOUGH_INFO,['despacito'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,False
Hindu Kush's highest point is the peak called Hindu Kush.,REFUTES,['kush'],REFUTES,True,REFUTES,True
Rick Ross created the Maybach Music Group.,SUPPORTS,['rick ross'],SUPPORTS,True,SUPPORTS,True
Kellyanne Conway publicly endorsed the pope.,NOT_ENOUGH_INFO,['kellyanne conway'],REFUTES,False,REFUTES,True
Gal Gadot was ranked as a top earning actress/model in Israel.,NOT_ENOUGH_INFO,['gal gadot'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Oscar de la Hoya retired from fighting in 1990.,REFUTES,['oscar de la hoya'],REFUTES,True,NOT_ENOUGH_INFO,True
Eva Mendes was drafted in 1974.,REFUTES,['eva mendes'],REFUTES,True,REFUTES,True
Angela Bassett started her film career in 1985 with the film Back to the Future.,NOT_ENOUGH_INFO,['angela bassett'],REFUTES,False,NOT_ENOUGH_INFO,True
SpongeBob SquarePants is not an American series.,REFUTES,['spongebob squarepants'],REFUTES,True,REFUTES,True
John Deighton worked a retail job.,NOT_ENOUGH_INFO,['john deighton'],NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Awkward Black Girl features Issa Rae in a leading role.,SUPPORTS,"['issa rae', 'awkward black girl']",SUPPORTS,True,SUPPORTS,True
Jack Falahee is dead.,NOT_ENOUGH_INFO,['jack falahee'],NOT_ENOUGH_INFO,True,REFUTES,True
Jiang Wen is a Chinese cuisine.,REFUTES,['jiang wen'],REFUTES,True,REFUTES,True
The ABC islands are the only part of the Caribbean.,NOT_ENOUGH_INFO,['abc'],REFUTES,False,REFUTES,True
"Keith Urban was only released on October 1, 1991.",REFUTES,['keith urban'],REFUTES,True,REFUTES,True
Ernest Medina received an acquittal in 1971.,SUPPORTS,['ernest medina'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Northwestern University is a recently added member of the Big Ten Conference.,REFUTES,"['the big ten conference', 'northwestern university']",REFUTES,True,NOT_ENOUGH_INFO,True
Martin Van Buren held office.,SUPPORTS,['martin van buren'],SUPPORTS,True,SUPPORTS,True
Birthday Song (2 Chainz song) was produced by Kanye West.,REFUTES,['kanye west'],REFUTES,True,NOT_ENOUGH_INFO,False
Magic Johnson was a senator.,NOT_ENOUGH_INFO,['magic johnson'],REFUTES,False,REFUTES,True
Alberto Contador was found guilty of an offense.,SUPPORTS,['alberto contador'],SUPPORTS,True,NOT_ENOUGH_INFO,True
PBS is a private broadcaster.,REFUTES,['pbs'],REFUTES,True,REFUTES,True
Jamaica is the place where Island Records was founded.,SUPPORTS,['island records'],REFUTES,False,NOT_ENOUGH_INFO,False
The setting of Bongwater is Oregon.,SUPPORTS,['bongwater'],REFUTES,False,NOT_ENOUGH_INFO,True
Britt Robertson works for an actress.,NOT_ENOUGH_INFO,['britt robertson'],SUPPORTS,False,REFUTES,True
Sheryl Lee appeared in Annie Hall.,NOT_ENOUGH_INFO,['sheryl lee'],REFUTES,False,NOT_ENOUGH_INFO,True
Richard Kuklinski is alone.,NOT_ENOUGH_INFO,['richard kuklinski'],NOT_ENOUGH_INFO,True,SUPPORTS,True
UNESCO's City of Literature program is a section of its Creative Cities Network.,SUPPORTS,['unesco'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Luis Fonsi does not go by his given name on stage.,SUPPORTS,['luis fonsi'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Tinker Tailor Soldier Spy stars Colin Firth and Jonah Hill.,NOT_ENOUGH_INFO,['jonah hill'],REFUTES,False,NOT_ENOUGH_INFO,False
A&E is a cable and satellite television network.,SUPPORTS,['a&e'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Ted Cruz was born in 1970.,SUPPORTS,['ted cruz'],SUPPORTS,True,SUPPORTS,True
Lou Gehrig got more votes than anyone else on the Major League Baseball All-Century Team in 1987.,REFUTES,['lou gehrig'],REFUTES,True,NOT_ENOUGH_INFO,True
American Idol (season 8) had Simon Cowell as a contestant.,NOT_ENOUGH_INFO,"['simon cowell', 'idol']",REFUTES,False,NOT_ENOUGH_INFO,False
Rupert Murdoch has been employed since at least 1979.,SUPPORTS,['rupert murdoch'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Fred Seibert has a career as a blues and rock record producer.,NOT_ENOUGH_INFO,['fred seibert'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Baz Luhrmann's film Australia is solely an epic historical romantic comedy.,SUPPORTS,['baz luhrmann'],REFUTES,False,NOT_ENOUGH_INFO,False
A subsidiary of Walt Disney Studios distributed The Mighty Ducks.,NOT_ENOUGH_INFO,['disney'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Brazzers is a pornographic production company based in Montreal.,SUPPORTS,['brazzers'],SUPPORTS,True,NOT_ENOUGH_INFO,True
Roswell was co-written by Jason Katims's daughter.,NOT_ENOUGH_INFO,"['roswell', 'jason katims']",NOT_ENOUGH_INFO,True,NOT_ENOUGH_INFO,True
Gotham City Sirens was written by a woman.,REFUTES,['gotham city sirens'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Renato Balestra came from a family of mechanics.,REFUTES,['renato balestra'],REFUTES,True,NOT_ENOUGH_INFO,True
Designated Survivor (TV series) was founded on ABC.,NOT_ENOUGH_INFO,['abc'],SUPPORTS,False,NOT_ENOUGH_INFO,False
Annette Badland was not part of the cast of Doctor Who.,REFUTES,['annette badland'],REFUTES,True,REFUTES,True
Gaius Julius Caesar never participated in politics.,REFUTES,"['julius caesar', 'gaius julius caesar']",REFUTES,True,REFUTES,True
Murda Beatz is north Canadian.,NOT_ENOUGH_INFO,['murda beatz'],SUPPORTS,False,NOT_ENOUGH_INFO,True
Chaka Khan had a music hit featuring at least one person.,SUPPORTS,['chaka khan'],SUPPORTS,True,SUPPORTS,True
Kyra Sedgwick has yet to have a role in a series.,REFUTES,['kyra sedgwick'],REFUTES,True,NOT_ENOUGH_INFO,True
The Washington Monument is a copy of the Lincoln Memorial.,NOT_ENOUGH_INFO,['lincoln'],REFUTES,False,NOT_ENOUGH_INFO,False
Bessie Smith sang the blues.,SUPPORTS,['bessie smith'],SUPPORTS,True,SUPPORTS,True
Shawn Carlson is American and German.,NOT_ENOUGH_INFO,['shawn carlson'],NOT_ENOUGH_INFO,True,REFUTES,True
"Matt Bomer was only born on May 11, 1977.",REFUTES,['matt bomer'],REFUTES,True,NOT_ENOUGH_INFO,True
