claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object
Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,Colin Kaepernick,become,a starting quarterback,,,low,semantic_search,none,,become a starting quarterback during in organization,
Tilda Swinton is a vegan.,Tilda Swinton,be,vegan,vegan,P106,high,kg_exact_match,rule,,,
Fox 2000 Pictures released the film Soul Food.,Fox 2000 Pictures,released,Soul Food,Soul Food,P264,high,kg_exact_match,semantic_assist,,release,
Anne Rice was born in New Jersey.,Anne Rice,born,New Jersey,New Jersey,P19,high,kg_exact_match,rule,,,
Telemundo is a English-language television network.,Telemundo,be,a English-language television network,,,low,semantic_search,none,,be a english-language television network,
Damon Albarn's debut album was released in 2011.,Damon Albarn,released,,,,low,semantic_search,none,,release in date be,
Andrew Kevin Walker is only Chinese.,Andrew Kevin Walker,be,China,China,P27,high,kg_exact_match,rule,,,
Murda Beatz's real name is Marshall Mathers.,Marshall Mathers,be,Marshall Mathers,,,low,semantic_search,none,,be marshall mathers,
Charles Manson has been proven innocent of all crimes.,Charles Manson,prove,innocent of all crimes,,,low,semantic_search,none,,prove innocent of all crimes be,
Don Bradman retired from soccer.,Don Bradman,retire,,,,low,semantic_search,none,,retire from soccer,
L.A. Reid has served as the CEO of Arista Records for four years.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,,,
Brad Wilk helped co-found Rage in 1962.,Brad Wilk,help,Rage,,,low,semantic_search,none,,help in date,
CBS is the network that aired The Millers.,CBS,be,the network that aired The Millers,,,low,semantic_search,none,,be the network that aired the millers,
Annette Badland was in the 2015 NBA Finals.,Annette Badland,be,NBA Finals,NBA Finals,P463,high,kg_exact_match,semantic_assist,,be in organization,
Ann Richards was professionally involved in politics.,Ann Richards,involve,,,,low,semantic_search,none,,involve in politics be,
Drake Bell put out an EP.,Drake Bell,put,an EP,,,low,semantic_search,none,,put,
Janet Leigh was incapable of writing.,Janet Leigh,be,incapable,incapable,P39,medium,kg_retrieve,rule,,,
Simón Bolívar is only known as Simón Bolívar.,Simón Bolívar,know,,,,low,semantic_search,none,,know as person,
Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,Colin Kaepernick,become,a starter,,,low,semantic_search,none,,become a starter during in organization,
"Harold Macmillan was born on February 20, 1894.",Harold Macmillan,born,"February 20, 1894","February 20, 1894",P569,high,kg_exact_match,rule,,,
David Packouz refused to be an entrepreneur.,David Packouz,refuse,,,,low,semantic_search,none,,refuse be,
Magic Johnson did not play for the Lakers.,Magic Johnson,played_in,,,,low,semantic_search,none,,play for the lakers do,
James VI and I was a major advocate of a single parliament for Scotland and England.,I,james vi,,,,low,semantic_search,none,,james vi be,
Marcus Bentley is a broadcaster.,Marcus Bentley,be,a broadcaster,,,low,semantic_search,none,,be a broadcaster,
Mel B released a song on Virgin Records in 2007.,Mel B,released,a song on Virgin Records,,,low,semantic_search,none,,release in date,
Noah Cyrus is a younger sister of Macy Grey.,Noah Cyrus,be,younger sister,younger sister,P39,medium,kg_retrieve,rule,,,
Jennifer Lopez made a single.,Jennifer Lopez,make,a single,,,low,semantic_search,none,,make,
Magic Johnson was a tap dancer.,Magic Johnson,be,dancer,dancer,P106,high,kg_exact_match,rule,,,
The Adventures of Pluto Nash was reviewed by Ron Underwood.,Adventures of Pluto Nash,review,,,,low,semantic_search,none,,review be,
Brazzers is a company.,Brazzers,be,a company,,,low,semantic_search,none,,be a company,
Tim Roth is an English actor.,Tim Roth,be,actor,actor,P106,high,kg_exact_match,rule,,,
Ernest Medina participated in the My Lai Massacre.,Ernest Medina,participate,My Lai Massacre,My Lai Massacre,P463,high,kg_exact_match,semantic_assist,,participate in organization,
Viola Davis appeared in Kate & Leopold as Darth Maul.,Viola Davis,appeared_in,,,,low,semantic_search,none,,appear in organization as person,
Jenna Jameson worked as a glamor model and a stripper.,Jenna Jameson,worked_as,model,model,P106,high,kg_exact_match,rule,,,
Caroline Kennedy is a Catholic.,Caroline Kennedy,be,catholic,catholic,P106,high,kg_exact_match,rule,,,
Jack Falahee is a person who acts.,Jack Falahee,be,a person who acts,,,low,semantic_search,none,,be a person who acts,
Steve Wozniak was born after the Apple II came out.,Steve Wozniak,born,,,P19,low,kg_retrieve,rule,,,
A&E is a cable and satellite television network.,A&E,be,a cable and satellite television network,,,low,semantic_search,none,,be a cable and satellite television network,
L.A. Reid has served as the president of a record label.,L.A. Reid,served_as,president,president,P39,medium,kg_retrieve,rule,,,
Taran Killam is an American writer.,Taran Killam,be,writer,writer,P106,high,kg_exact_match,rule,,,
Jayasudha is an actor that stars in Daag.,Jayasudha,be,actor,actor,P106,high,kg_exact_match,rule,,,
XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,Sex Factor,force,eight men and eight women,,,low,semantic_search,none,,force,
"John Dolmayan was born on July 15, 1873.",John Dolmayan,born,"July 15, 1873","July 15, 1873",P569,high,kg_exact_match,rule,,,
Island Records is a music school.,Island Records,be,a music school,,,low,semantic_search,none,,be a music school,
Sikkim is a part of the World Bank.,Sikkim,be,the World Bank,World Bank,P361,high,kg_exact_match,rule,,,
Christa McAuliffe taught social studies at Concord High School.,Christa McAuliffe,teach,social studies,,,low,semantic_search,none,,teach at organization,
Colin Kaepernick is a poker player.,Colin Kaepernick,be,poker player,poker player,P106,high,kg_exact_match,rule,,,
Sheryl Lee has yet to appear in a film as of 2016.,Sheryl Lee,have,,,,low,semantic_search,none,,have appear,
The highest point of the Hindu Kush is Everest.,point,be,everest,everest,P39,medium,kg_retrieve,rule,,,
Weekly Idol is hosted by Yoo Jae Suk.,Idol,host,,,,low,semantic_search,none,,host,
Ashton Kutcher was directed by George Clooney.,Ashton Kutcher,directed_by,,,,low,semantic_search,none,,direct be,
Wales' population changed.,Wales,change,,,,low,semantic_search,none,,change,
Youtube is not a website.,Youtube,be,website,website,P106,high,kg_exact_match,rule,,,
In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,record label,asylum records,,,,low,semantic_search,none,,asylum records in date found,
