claim,label,matched,llm_label,correct
Elizabeth I was the first daughter of Henry VIII.,REFUTES,['henry viii'],REFUTES,True
Janet Leigh was Catholic.,NOT ENOUGH INFO,['janet leigh'],SUPPORTS,False
Manchester by the Sea is distributed globally.,REFUTES,['manchester'],SUPPORTS,False
Gal Gadot was ranked ahead of Shlomit Malka for Israel's highest earning actress/models.,SUPPORTS,['gal gadot'],SUPPORTS,True
Jenny McCarthy was Playmate of the Month.,NOT ENOUGH INFO,['jenny mccarthy'],SUPPORTS,False
Anne Boleyn is not mentioned in many artistic and cultural work.,REFUTES,['anne boleyn'],REFUTES,True
Recovery is an Eminem song.,REFUTES,['eminem'],SUPPORTS,False
Omar Khadr was declared innocent.,NOT ENOUGH INFO,['omar khadr'],REFUTES,False
Despacito has a version which features a lengthier bridge.,NOT ENOUGH INFO,['despacito'],NOT ENOUGH INFO,True
Hindu Kush's highest point is the peak called Hindu Kush.,REFUTES,['kush'],REFUTES,True
Rick Ross created the Maybach Music Group.,SUPPORTS,['rick ross'],SUPPORTS,True
Kellyanne Conway publicly endorsed the pope.,NOT ENOUGH INFO,['kellyanne conway'],REFUTES,False
Gal Gadot was ranked as a top earning actress/model in Israel.,NOT ENOUGH INFO,['gal gadot'],SUPPORTS,False
Oscar de la Hoya retired from fighting in 1990.,REFUTES,['oscar de la hoya'],REFUTES,True
Eva Mendes was drafted in 1974.,REFUTES,['eva mendes'],REFUTES,True
Angela Bassett started her film career in 1985 with the film Back to the Future.,NOT ENOUGH INFO,['angela bassett'],REFUTES,False
SpongeBob SquarePants is not an American series.,REFUTES,['spongebob squarepants'],REFUTES,True
John Deighton worked a retail job.,NOT ENOUGH INFO,['john deighton'],NOT ENOUGH INFO,True
Awkward Black Girl features Issa Rae in a leading role.,SUPPORTS,"['issa rae', 'awkward black girl']",SUPPORTS,True
Jack Falahee is dead.,NOT ENOUGH INFO,['jack falahee'],NOT ENOUGH INFO,True
Jiang Wen is a Chinese cuisine.,REFUTES,['jiang wen'],REFUTES,True
The ABC islands are the only part of the Caribbean.,NOT ENOUGH INFO,['abc'],REFUTES,False
"Keith Urban was only released on October 1, 1991.",REFUTES,['keith urban'],REFUTES,True
Ernest Medina received an acquittal in 1971.,SUPPORTS,['ernest medina'],SUPPORTS,True
Northwestern University is a recently added member of the Big Ten Conference.,REFUTES,"['the big ten conference', 'northwestern university']",REFUTES,True
Martin Van Buren held office.,SUPPORTS,['martin van buren'],SUPPORTS,True
Birthday Song (2 Chainz song) was produced by Kanye West.,REFUTES,['kanye west'],REFUTES,True
Magic Johnson was a senator.,NOT ENOUGH INFO,['magic johnson'],REFUTES,False
Alberto Contador was found guilty of an offense.,SUPPORTS,['alberto contador'],SUPPORTS,True
PBS is a private broadcaster.,REFUTES,['pbs'],REFUTES,True
Jamaica is the place where Island Records was founded.,SUPPORTS,['island records'],REFUTES,False
