claim,subject,predicate,object,object_queried,property_id,confidence,route,mapping_source,kg_result,kg_retrieved,entity_exists,match_direction
Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.,Colin Kaepernick,become,,,,low,semantic_search,none,pending_semantic,,,
Tilda Swinton is a vegan.,Tilda Swinton,be,vegan,vegan,P106,high,kg_exact_match,rule,no_match,,True,
Fox 2000 Pictures released the film Soul Food.,Fox 2000 Pictures,released,Soul Food,soul food,P264,high,kg_exact_match,semantic_assist,no_match,,False,
Anne Rice was born in New Jersey.,Anne Rice,born,New Jersey,new jersey,P19,high,kg_exact_match,rule,no_match,,True,
Telemundo is a English-language television network.,Telemundo,be,,,,low,semantic_search,none,pending_semantic,,,
Damon Albarn's debut album was released in 2011.,Damon Albarn,released,,,,low,semantic_search,none,pending_semantic,,,
Andrew Kevin Walker is only Chinese.,Andrew Kevin Walker,be,China,china,P27,high,kg_exact_match,rule,no_match,,True,
Murda Beatz's real name is Marshall Mathers.,Marshall Mathers,be,,,,low,semantic_search,none,pending_semantic,,,
Charles Manson has been proven innocent of all crimes.,Charles Manson,prove,,,,low,semantic_search,none,pending_semantic,,,
Don Bradman retired from soccer.,Don Bradman,retire,,,,low,semantic_search,none,pending_semantic,,,
L.A. Reid has served as the CEO of Arista Records for four years.,L.A. Reid,served_as,chief executive officer,chief executive officer,P39,medium,kg_retrieve,rule,not_found,,True,
Brad Wilk helped co-found Rage in 1962.,Brad Wilk,help,,,,low,semantic_search,none,pending_semantic,,,
CBS is the network that aired The Millers.,CBS,be,,,,low,semantic_search,none,pending_semantic,,,
Annette Badland was in the 2015 NBA Finals.,Annette Badland,be,NBA Finals,nba finals,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Ann Richards was professionally involved in politics.,Ann Richards,involve,,,,low,semantic_search,none,pending_semantic,,,
Drake Bell put out an EP.,Drake Bell,put,,,,low,semantic_search,none,pending_semantic,,,
Janet Leigh was incapable of writing.,Janet Leigh,be,incapable,incapable,P39,medium,kg_retrieve,rule,not_found,,True,
Simón Bolívar is only known as Simón Bolívar.,Simón Bolívar,know,,,,low,semantic_search,none,pending_semantic,,,
Colin Kaepernick became a starter during the 49ers 63rd season in the Republican Party.,Colin Kaepernick,become,,,,low,semantic_search,none,pending_semantic,,,
"Harold Macmillan was born on February 20, 1894.",Harold Macmillan,born,"February 20, 1894",1894-02-20,P569,high,kg_exact_match,rule,no_match,,True,
David Packouz refused to be an entrepreneur.,David Packouz,refuse,,,,low,semantic_search,none,pending_semantic,,,
Magic Johnson did not play for the Lakers.,Magic Johnson,played_in,,,,low,semantic_search,none,pending_semantic,,,
James VI and I was a major advocate of a single parliament for Scotland and England.,I,james vi,,,,low,semantic_search,none,pending_semantic,,,
Marcus Bentley is a broadcaster.,Marcus Bentley,be,,,,low,semantic_search,none,pending_semantic,,,
Mel B released a song on Virgin Records in 2007.,Mel B,released,,,,low,semantic_search,none,pending_semantic,,,
Noah Cyrus is a younger sister of Macy Grey.,Noah Cyrus,be,younger sister,younger sister,P39,medium,kg_retrieve,rule,not_found,,True,
Jennifer Lopez made a single.,Jennifer Lopez,make,,,,low,semantic_search,none,pending_semantic,,,
Magic Johnson was a tap dancer.,Magic Johnson,be,dancer,dancer,P106,high,kg_exact_match,rule,no_match,,True,
The Adventures of Pluto Nash was reviewed by Ron Underwood.,Adventures of Pluto Nash,review,,,,low,semantic_search,none,pending_semantic,,,
Brazzers is a company.,Brazzers,be,,,,low,semantic_search,none,pending_semantic,,,
Tim Roth is an English actor.,Tim Roth,be,actor,actor,P106,high,kg_exact_match,rule,match,,,
Ernest Medina participated in the My Lai Massacre.,Ernest Medina,participate,My Lai Massacre,my lai massacre,P463,high,kg_exact_match,semantic_assist,property_not_in_kg,,,
Viola Davis appeared in Kate & Leopold as Darth Maul.,Viola Davis,appeared_in,,,,low,semantic_search,none,pending_semantic,,,
Jenna Jameson worked as a glamor model and a stripper.,Jenna Jameson,worked_as,model,model,P106,high,kg_exact_match,rule,no_match,,True,
Caroline Kennedy is a Catholic.,Caroline Kennedy,be,catholic,catholic,P106,high,kg_exact_match,rule,no_match,,True,
Jack Falahee is a person who acts.,Jack Falahee,be,,,,low,semantic_search,none,pending_semantic,,,
Steve Wozniak was born after the Apple II came out.,Steve Wozniak,born,,,P19,low,kg_retrieve,rule,retrieved,san jose,,
A&E is a cable and satellite television network.,A&E,be,,,,low,semantic_search,none,pending_semantic,,,
L.A. Reid has served as the president of a record label.,L.A. Reid,served_as,president,president,P39,medium,kg_retrieve,rule,not_found,,True,
Taran Killam is an American writer.,Taran Killam,be,writer,writer,P106,high,kg_exact_match,rule,match,,,
Jayasudha is an actor that stars in Daag.,Jayasudha,be,actor,actor,P106,high,kg_exact_match,rule,match,,,
XHamster's The Sex Factor forces eight men and eight women to battle to become a porn star.,Sex Factor,force,,,,low,semantic_search,none,pending_semantic,,,
"John Dolmayan was born on July 15, 1873.",John Dolmayan,born,"July 15, 1873",1873-07-15,P569,high,kg_exact_match,rule,no_match,,True,
Island Records is a music school.,Island Records,be,,,,low,semantic_search,none,pending_semantic,,,
Sikkim is a part of the World Bank.,Sikkim,be,World Bank,world bank,P361,high,kg_exact_match,rule,property_not_in_kg,,,
