claim,subject,predicate,object_raw,object_text,property_id,confidence,route,mapping_source,semantic_score,relation_phrase,object,nli_premise,evidence_source,sem_top_triple,sem_top_score,sem_evidence,has_evidence,nli_premise_verbalized,nli_entailment,nli_contradiction,nli_neutral,nli_verdict,nli_confidence,label,gold_label,pred_label
Tilda Swinton is a vegan.,Tilda Swinton,be,vegan,vegan,P106,high,kg_exact_match,rule,,,,Tilda Swinton occupation vegan,exact_match,,,,True,Tilda Swinton is a vegan.,0.9973,0.0002,0.0025,SUPPORTS,0.9973,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Fox 2000 Pictures released the film Soul Food.,Fox 2000 Pictures,released,Soul Food,Soul Food,P264,high,kg_exact_match,semantic_assist,,release,,Fox 2000 Pictures record label Soul Food,exact_match,,,,True,Fox 2000 Pictures is signed to Soul Food.,0.966,0.0037,0.0303,SUPPORTS,0.966,SUPPORTS,SUPPORTS,SUPPORTS
Anne Rice was born in New Jersey.,Anne Rice,born,New Jersey,New Jersey,P19,high,kg_exact_match,rule,,,,Anne Rice place of birth New Jersey,exact_match,,,,True,Anne Rice was born in New Jersey.,0.9956,0.0004,0.004,SUPPORTS,0.9956,NOT ENOUGH INFO,NOT_ENOUGH_INFO,SUPPORTS
Andrew Kevin Walker is only Chinese.,Andrew Kevin Walker,be,China,China,P27,high,kg_exact_match,rule,,,,Andrew Kevin Walker country of citizenship China,exact_match,,,,True,Andrew Kevin Walker is a citizen of China.,0.003,0.0033,0.9937,NOT_ENOUGH_INFO,0.9937,REFUTES,REFUTES,NOT_ENOUGH_INFO
Annette Badland was in the 2015 NBA Finals.,Annette Badland,be,NBA Finals,NBA Finals,P463,high,kg_exact_match,semantic_assist,,be in organization,,Annette Badland member of NBA Finals,exact_match,,,,True,Annette Badland is a member of NBA Finals.,0.0023,0.0002,0.9975,NOT_ENOUGH_INFO,0.9975,NOT ENOUGH INFO,NOT_ENOUGH_INFO,NOT_ENOUGH_INFO
"Harold Macmillan was born on February 20, 1894.",Harold Macmillan,born,"February 20, 1894","February 20, 1894",P569,high,kg_exact_match,rule,,,,"Harold Macmillan date of birth February 20, 1894",exact_match,,,,True,"Harold Macmillan was born on February 20, 1894.",0.9916,0.0014,0.0069,SUPPORTS,0.9916,REFUTES,REFUTES,SUPPORTS
Magic Johnson was a tap dancer.,Magic Johnson,be,dancer,dancer,P106,high,kg_exact_match,rule,,,,Magic Johnson occupation dancer,exact_match,,,,True,Magic Johnson is a dancer.,0.0086,0.0036,0.9878,NOT_ENOUGH_INFO,0.9878,REFUTES,REFUTES,NOT_ENOUGH_INFO
Tim Roth is an English actor.,Tim Roth,be,actor,actor,P106,high,kg_exact_match,rule,,,,Tim Roth occupation actor,exact_match,,,,True,Tim Roth is an actor.,0.001,0.0001,0.9989,NOT_ENOUGH_INFO,0.9989,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
Ernest Medina participated in the My Lai Massacre.,Ernest Medina,participate,My Lai Massacre,My Lai Massacre,P463,high,kg_exact_match,semantic_assist,,participate in organization,,Ernest Medina member of My Lai Massacre,exact_match,,,,True,Ernest Medina is a member of My Lai Massacre.,0.9902,0.0002,0.0096,SUPPORTS,0.9902,SUPPORTS,SUPPORTS,SUPPORTS
Jenna Jameson worked as a glamor model and a stripper.,Jenna Jameson,worked_as,model,model,P106,high,kg_exact_match,rule,,,,Jenna Jameson occupation model,exact_match,,,,True,Jenna Jameson is a model.,0.0013,0.001,0.9977,NOT_ENOUGH_INFO,0.9977,SUPPORTS,SUPPORTS,NOT_ENOUGH_INFO
